,Address,latitude,longtitude
39,320/10  ห้างบิ๊กซีนครสวรรค์ ชั้น 2 ห้อง 216 ถ. สวรรค์วิถี  ต. ปากน้ำโพ  อ.เมืองนครสวรรค์ จ.นครสวรรค์ 60000,,
40,ห้างโลตัส เดอะวอล์ค นครสวรรค์  เลขที่  914/17  หมู่ที่  10  ต.นครสวรรค์ตก  อ.เมืองนครสารรค์  จ.นครสวรรค์  60000,,
41,เลขที่ 999/99 หมู่ 6 ตำบลหนองกรด อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60240,,
42,เลขที่ 699 หมู่ 10 ตำบลนครสวรรค์ตก อำเภอเมืองนครสวรรค์ จังหวัดนครสวรรค์ 60000,,
43,อาคารบิ๊กซีอ่างทอง  เลขที่  24  ถ. โพธิ์พระยา-ห่าเรือ  ต. โพสะ  อ. เมืองอ่างทอง  จ. อ่างทอง  14000,,
44,ห้างแฮปปี้หลาซ่าพิจิตร  เลขที่  39/119  ถ.สระหลวง  ต.ในเมือง อ. เมืองพิจิตร  จ.พิจิตร  66000,,
45,332 ท็อปส์ พิจิตร ห้องเลขที่ R1106 ชั้น 1 หมู่ที่ 3 ตำบลคลองคะเชนทร์ อำเภอเมืองพิจิตร จังหวัดพิจิตร 66000,,
46,122  ห้างโลตัส ท่าหลวง  หมู่ที่ 8  ตำบลท่าหลวง อำเภอเมืองพิจิตร จังหวัดพิจิตร  66000,,
47,80 ห้างบิ๊กซีอยุธยา หมู่ 2 ต.บ้านกรด อ.บางปะอิน จ.พระนครศรีอยุธยา 13160,,
48,126 ศูนย์การค้าอยุธยาพาร์ค ชั้น จี ห้อง จี-93 ถนนสายเอเชีย ตำบลคลองสวนพลู อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000,,
49,111/3 หมู่ 3 ตำบลคลองสวนพลู อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,,
50,เลขที่ 129/1-3 หมู่ที่ 3 ตำบลคลองสวนพลู อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,,
51,"125 ห้างบิ๊กซีรัชดา ชั้น 1 ห้อง 5,6  รัชดาภิเษก  ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กทม. 10320",,
52,ห้างเซ็นทรัลพระราม 9 ห้องเลขที่ 625 ชั้นที่ G เลขที่ 9/8 ถ.พะราม 9 เขตห้วยขวาง แขวงห้วยขวาง จ.กรุงเทพมหานคร 10310,,
53,เลขที่ 33/4 ถ.พระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
54,2 ห้างบิ๊กซีอิสรภาพ ชั้น 1  ถ.ศรีปราชญ์ แขวงวัดกัลยาณ์ เขตธนบุรี กทม. 10600,,
55,เลขที่ 1061 ซ. อิสรภาพ 15 แขวงหิรัญรูจี เขตธนบุรี กรุงเทพมหานคร 10600,,
56,306 อาคารเซ็นทรัลสีลม ห้องเลขที่ 108 ชั้นที่ 1 ถ.สีลม แขวงสุริยวงศ์ เขตบางรัก กทม.10500,,
57,เซ็นทรัล บางรัก ชั้นที่ BF เลขที่ 1522 ถ.เจริญกรุง แขวงบางรัก เขตบางรัก จ.กรุงเทพมหานคร 10500,,
58,ห้างเดอะมอลล์ท่าพระ  แผนกเทคโฮม  เลขที่  99  ถ.รัชดาภิเษก  (ท่าพระตากสิน)  แขวงบุคคโล  เขตธนบุรี  จ.กรุงเทพมหานคร  10600  ,,
59,อาคารซีคอนบางแค  ห้องเลขที่  FB2/04A ชั้นที่ 2  เลขที่  607  ถ.เพชรเกษม  แขวง บางหว้า  เขต ภาษีเจริญ  จ.กรุงเทพมหานคร  10160,,
60,ห้างบิ๊กซีกัลปพฤกษ์ เลขที่ 25 ถ.กัลปพฤกษ์ แขวงบางบอน เขตบางบอน จ.กรุงเทพมหานคร 10150,,
61,เลขที่ 518 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,,
62,"***ส่งสื่อที่ บิ๊กซี รัชดา  125 ห้างบิ๊กซีรัชดา ชั้น 1 ห้อง 5,6  รัชดาภิเษก  ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กทม. 10320",,
63,เลขที่ 59/9 หมู่1 ถ.กาญจนาภิเษก ตำบลบางบัวทอง อำเภอบางบัวทอง นนทบุรี 11110,,
64,ห้างไทวัสดุ ชัยพฤกษ์ เลขที่ 46/21 หมู่ที่ 5 ถนนราชพฤกษ์ ตำบลบางพลับ อำเภอปากเกร็ด นนทบุรี 11120,,
65,19/11 หมู่ 4 ถนนราชพฤกษ์ ตำบลคลองข่อย อำเภอปากเกร็ด นนทบุรี 11120,,
